title,description,requirements,expectations
FactoryFlow - Autonomous Production Schedule Recovery Agent,"A manufacturing company has a production schedule containing jobs with different deadlines, priorities, machine requirements, processing times, and dependencies. During production, machine downtime, urgent orders, material shortages, or unexpected processing delays can invalidate the original plan. Build an AI system that detects disruptions, reconstructs the production plan, simulates alternatives, and autonomously selects the recovery strategy that minimizes late orders, downtime, and cost.","1. Implement at least five meaningful intelligence components: job completion-time prediction, machine availability/failure-risk prediction, order-priority prediction, delay propagation, business-impact prediction, plus a scheduling/optimization component.
2. Maintain an internal production-state representation.
3. Implement a team-built agent/controller that generates and compares multiple recovery strategies.
4. Support at least two disruption types and machine/job constraints.
5. Provide a simulation mode where a judge can inject a disruption during the demo.
6. Expose the agent's evidence, decisions, and re-planning logic.","1. Dashboard must show production schedule, machine utilization, bottlenecks, jobs at risk, and expected delays.
2. Show current plan vs proposed plan, predicted cost, and late-order reduction.
3. Show the agent's decision trace and why the selected schedule was preferred.
4. Demonstrate re-planning after a second disruption.
5. Measure improvement against a fixed-rule or original-schedule baseline."
ReleaseSentinel - Autonomous Software Release Risk Planner,"Software releases combine code changes, test results, dependencies, historical incidents, ownership information, and service criticality. A release can pass standard checks and still cause production failures. Build an AI system that estimates release risk, identifies likely failure modes, evaluates rollout strategies, and determines whether the release should proceed, be staged, delayed, or prepared for rollback.","1. Implement at least five meaningful intelligence components: change-risk analysis, test-failure prediction, defect/affected-module prediction, historical-incident similarity, production-impact prediction, plus rollout-risk optimization.
2. Represent the current release state and affected services/modules.
3. Build an agent that selects additional evidence, generates rollout strategies, and compares their predicted outcomes.
4. Support staged-rollout scenarios such as 10%, 50%, and 100%.
5. Use a small prepared incident history and inject known risky releases for evaluation.
6. Do not use an external LLM as the primary release decision engine.","1. Dashboard must show release readiness, risk by module, predicted failure modes, similar incidents, rollout strategy comparison, and final recommendation.
2. Show expected impact of each rollout strategy.
3. Show evidence behind the release decision.
4. Evaluate earlier detection against a simple pass/fail CI baseline.
5. Demonstrate re-evaluation after simulated production feedback."
InvoiceMind - Autonomous Accounts-Payable Investigation Agent,"Organizations process large numbers of invoices containing prices, quantities, vendor information, purchase orders, taxes, and payment history. Manual review is expensive, while simple rules generate too many false positives. Build an AI system that investigates invoices before payment, determines whether an anomaly is legitimate, estimates financial risk, and chooses approve, hold, verify, or escalate.","1. Implement invoice-field extraction, duplicate detection, price/quantity anomaly detection, vendor behavior risk, payment risk, and financial-impact estimation.
2. Maintain invoice, purchase-order, and vendor history.
3. Build an agent that selectively investigates related records instead of inspecting everything equally.
4. Support duplicate, price, quantity, and vendor-history anomaly scenarios.
5. Include simulated reviewer feedback.
6. Track review effort and money at risk.","1. Dashboard must show total invoices, auto-approved vs reviewed, money at risk, duplicate clusters, vendor risk, and investigation queue.
2. Show evidence used for each decision.
3. Show financial impact and confidence.
4. Compare agent-assisted review against simple rules.
5. Measure reduction in review effort while controlling false approvals."
ReturnWise - Autonomous E-Commerce Returns Investigator,"Online businesses lose money when legitimate returns are mixed with repeated abuse, damaged-item claims, incorrect-product claims, and unusual customer behavior. Build an AI investigation system that determines whether a return should be approved, inspected, exchanged, restricted, or escalated while balancing customer experience and business loss.","1. Implement return-reason classification, customer behavior modeling, product-defect patterns, return-abuse risk, resale-value prediction, and expected-loss estimation.
2. Combine current return evidence with customer and product history.
3. Build an agent that investigates context, simulates possible actions, and selects one under business constraints.
4. Support multiple return scenarios and changing customer/product history.
5. Allow a judge to modify history and rerun the decision.
6. Include an explicit loss-vs-customer-impact trade-off.","1. Dashboard must show return risk, customer/product factors, estimated financial impact, recommended action, and decision evidence.
2. Show how the decision changes when context changes.
3. Show trends in return abuse and product defects.
4. Compare against a simple rule baseline.
5. Report prevented-loss or expected-loss reduction."
ShiftPilot - Autonomous Service-Center Queue Orchestrator,"Customer-service centers face unpredictable demand and limited staffing. Predicting call volume alone does not solve the problem. Build an AI system that forecasts workload, predicts queue delays, estimates SLA risk, and dynamically determines how available agents should be allocated across queues.","1. Implement arrival-volume forecasting, service-time prediction, queue-delay prediction, customer-priority prediction, agent-skill matching, and SLA-risk prediction.
2. Represent queue state, agent capacity, skills, and current assignments.
3. Build an agent that generates alternative staffing allocations and simulates waiting-time/SLA outcomes.
4. Support demand spikes and agent unavailability.
5. Compare dynamic allocation with a fixed staffing policy.
6. Allow re-planning when new demand arrives.","1. Dashboard must show queue health, predicted arrivals, wait-time forecasts, SLA risk, agent utilization, and current vs proposed allocation.
2. Show before/after simulation for a disruption.
3. Display the selected allocation and its expected improvement.
4. Measure waiting-time and SLA-risk reduction.
5. Show agent decision history."
Adaptive Story Challenge - Autonomous Learning Strategy Engine,Conventional learning systems often present the same content sequence to every learner. Build an adaptive learning environment that maintains an evolving representation of learner knowledge and chooses the next learning intervention expected to maximize mastery within a limited interaction or time budget.,"1. Implement knowledge-state estimation, concept mastery prediction, misconception detection, difficulty estimation, learning-gain prediction, and content/branch ranking.
2. Maintain a structured concept graph and learner state.
3. Build an agent that chooses among revision, new concept, hint, explanation, easier/harder challenge, or scenario branch.
4. Track correctness, response time, repeated errors, and simulated learner profiles.
5. Give the agent a limited teaching budget.
6. Compare adaptive learning against a fixed sequence.","1. Dashboard must show mastery graph, misconception map, learning trajectory, chosen interventions, difficulty progression, and predicted final mastery.
2. Show how the strategy changes for different learner states.
3. Show before/after learning outcome.
4. Measure expected or simulated learning-gain improvement over baseline.
5. Keep the experience interactive rather than a generic chatbot."
StockShield - Inventory Disruption Recovery Agent,"Retail businesses often discover stock problems too late. A product can look healthy while demand shifts, suppliers delay shipments, or a region consumes inventory faster. Build an AI system that predicts upcoming inventory failures and autonomously creates recovery strategies.","1. Implement demand forecasting, stockout probability, supplier-delay prediction, regional demand-shift detection, recovery-outcome prediction, and lost-revenue prediction.
2. Model products, suppliers, regions, lead times, and inventory capacity.
3. Build an agent that generates reorder, transfer, allocation, or supplier-switch strategies.
4. Simulate the outcome of competing recovery strategies.
5. Support at least two disruption types.
6. Allow a judge to inject a demand or supplier shock.","1. Dashboard must show products at risk, stockout dates, supplier risk, regional demand, expected lost revenue, and strategy comparison.
2. Show the recommended recovery action.
3. Show current vs recovered inventory state.
4. Compare against a fixed reorder-point baseline.
5. Measure stockouts or expected lost revenue avoided."
ClaimCheck - Autonomous Insurance Claim Investigation Simulator,"Insurance operations receive claims containing narratives, invoices, timelines, prior claim history, and supporting evidence. Simple rules create excessive false positives while manual review is expensive. Build an AI investigation system that determines which claims can be processed quickly, which require more evidence, and which require human investigation.","1. Implement claim-type classification, narrative inconsistency detection, historical-claim similarity, fraud/anomaly risk, claim-cost prediction, and evidence-priority ranking.
2. Build an agent that chooses which evidence source to inspect next.
3. Maintain an investigation state and update claim risk after new evidence.
4. Use synthetic or public claim-style data only.
5. Include simulated reviewer feedback.
6. Treat the system as an operational simulation, not real insurance adjudication.","1. Dashboard must show claims queue, risk score, estimated financial exposure, evidence inspected, investigation path, final action, and confidence.
2. Show which evidence changed the decision.
3. Measure analyst-review reduction and false-positive trade-off.
4. Demonstrate selective investigation rather than full review for every claim.
5. Compare with a rule-based triage baseline."
ProcurementPilot - Intelligent Supplier Strategy Agent,"A company must procure materials from several suppliers under uncertain price, quality, delivery, and capacity conditions. Build an AI system that predicts supplier performance and creates procurement strategies that minimize total business risk and cost.","1. Implement price prediction, supplier reliability prediction, delivery-time prediction, quality-risk prediction, capacity prediction, and procurement cost/risk optimization.
2. Use at least three suppliers with minimum/maximum order constraints.
3. Build an agent that generates multiple allocation strategies and simulates their outcomes.
4. Support supplier disruption such as price, capacity, or reliability changes.
5. Track historical supplier performance.
6. Re-plan dynamically when supplier conditions change.","1. Dashboard must show supplier risk matrix, recommended allocation, expected cost, delivery risk, quality risk, and scenario comparison.
2. Show agent strategy history.
3. Compare against a single-supplier or rule-based baseline.
4. Measure expected cost/risk improvement under changing conditions.
5. Explain why the allocation was selected."
ProcessX - Autonomous Business Bottleneck Investigator,"A company notices that a critical business process has become slower or more expensive but does not know which stage is responsible or what intervention will provide the best return. Build an AI system that investigates the process, identifies bottlenecks, generates hypotheses, simulates interventions, and recommends the highest-impact improvement.","1. Implement process-time prediction, bottleneck detection, process anomaly detection, delay-cause prediction, intervention-impact prediction, and ROI optimization.
2. Use event-log style process data with at least five stages.
3. Build an agent that chooses which stage or factor to investigate next.
4. Generate at least two intervention options with different costs and expected effects.
5. Simulate intervention outcomes before recommending one.
6. Support a second bottleneck appearing after the first intervention.","1. Dashboard must show process map, stage health, bottleneck ranking, delay causes, investigation tree, intervention simulation, expected improvement, and ROI.
2. Show the investigation path used by the agent.
3. Compare against fixed-rule bottleneck analysis.
4. Measure expected cycle-time or cost improvement.
5. Demonstrate re-planning after a new bottleneck appears."
